track_name;track_add_date;track_add_time;multiple_artists_bool;name_of_artists;album_name;album_release_date;album_release_date_precision;number_of_tracks_in_album;position_in_playlist;track_duration_ms;track_popularity;track_explicit;images_path;data_collection_date
Flowers;2023-03-31;10:02:16;False;['Miley Cyrus'];Endless Summer Vacation;2023-03-10;day;13;1;200600;87;False;./images/flowers_miley_cyrus.jpg;2023-03-31
Kill Bill;2023-03-31;10:02:16;False;['SZA'];SOS;2022-12-08;day;23;2;153946;94;False;./images/kill_bill_sza.jpg;2023-03-31
TQG;2023-03-31;10:02:16;True;['KAROL G', 'Shakira'];MAÑANA SERÁ BONITO;2023-02-24;day;17;3;197933;97;True;./images/tqg_karol_g.jpg;2023-03-31
BESO;2023-03-31;10:02:16;True;['ROSALÍA', 'Rauw Alejandro'];RR;2023-03-24;day;3;4;194543;87;False;./images/beso_rosala.jpg;2023-03-31
Boy's a liar Pt. 2;2023-03-31;10:02:16;True;['PinkPantheress', 'Ice Spice'];Boy's a liar Pt. 2;2023-02-03;day;2;5;131013;97;False;./images/boys_a_liar_pt_2_pinkpantheress.jpg;2023-03-31
Ella Baila Sola;2023-03-31;10:02:16;True;['Eslabon Armado', 'Peso Pluma'];Ella Baila Sola;2023-03-16;day;1;6;165671;90;False;./images/ella_baila_sola_eslabon_armado.jpg;2023-03-31
Die For You (with Ariana Grande) - Remix;2023-03-31;10:02:16;True;['The Weeknd', 'Ariana Grande'];Starboy (Deluxe);2023-03-14;day;21;7;232857;81;False;./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg;2023-03-31
As It Was;2023-03-31;10:02:16;False;['Harry Styles'];Harry's House;2022-05-20;day;13;8;167303;91;False;./images/as_it_was_harry_styles.jpg;2023-03-31
La Bebe - Remix;2023-03-31;10:02:16;True;['Yng Lvcas', 'Peso Pluma'];La Bebe (Remix);2023-03-17;day;2;9;234352;86;True;./images/la_bebe_remix_yng_lvcas.jpg;2023-03-31
Creepin' (with The Weeknd & 21 Savage);2023-03-31;10:02:16;True;['Metro Boomin', 'The Weeknd', '21 Savage'];HEROES & VILLAINS;2022-12-02;day;15;10;221520;96;True;./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg;2023-03-31
Yandel 150;2023-03-31;10:02:16;True;['Yandel', 'Feid'];Resistencia;2023-01-13;day;17;11;216148;89;True;./images/yandel_150_yandel.jpg;2023-03-31
Shakira: Bzrp Music Sessions, Vol. 53;2023-03-31;10:02:16;True;['Bizarrap', 'Shakira'];Shakira: Bzrp Music Sessions, Vol. 53;2023-01-11;day;1;12;214945;97;False;./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg;2023-03-31
Calm Down (with Selena Gomez);2023-03-31;10:02:16;True;['Rema', 'Selena Gomez'];Calm Down (with Selena Gomez);2022-08-25;day;1;13;239317;94;False;./images/calm_down_with_selena_gomez_rema.jpg;2023-03-31
Coco Chanel;2023-03-31;10:02:16;True;['Eladio Carrion', 'Bad Bunny'];3MEN2 KBRN;2023-03-17;day;18;14;208125;88;True;./images/coco_chanel_eladio_carrion.jpg;2023-03-31
Like Crazy;2023-03-31;10:02:16;False;['Jimin'];FACE;2023-03-24;day;6;15;212241;86;False;./images/like_crazy_jimin.jpg;2023-03-31
Anti-Hero;2023-03-31;10:02:16;False;['Taylor Swift'];Midnights;2022-10-21;day;13;16;200690;93;False;./images/antihero_taylor_swift.jpg;2023-03-31
All Of The Girls You Loved Before;2023-03-31;10:02:16;False;['Taylor Swift'];All Of The Girls You Loved Before;2019-08-23;day;1;17;221407;89;False;./images/all_of_the_girls_you_loved_before_taylor_swift.jpg;2023-03-31
Unholy (feat. Kim Petras);2023-03-31;10:02:16;True;['Sam Smith', 'Kim Petras'];Gloria;2023-01-27;day;13;18;156943;86;False;./images/unholy_feat_kim_petras_sam_smith.jpg;2023-03-31
Die For You;2023-03-31;10:02:16;False;['The Weeknd'];Starboy;2016-11-24;day;18;19;260253;90;False;./images/die_for_you_the_weeknd.jpg;2023-03-31
I'm Good (Blue);2023-03-31;10:02:16;True;['David Guetta', 'Bebe Rexha'];I'm Good (Blue);2022-08-26;day;2;20;175238;94;True;./images/im_good_blue_david_guetta.jpg;2023-03-31
La Bachata;2023-03-31;10:02:16;False;['Manuel Turizo'];2000;2023-03-17;day;15;21;162637;79;False;./images/la_bachata_manuel_turizo.jpg;2023-03-31
Last Night;2023-03-31;10:02:16;False;['Morgan Wallen'];One Thing At A Time;2023-03-03;day;36;22;163854;86;True;./images/last_night_morgan_wallen.jpg;2023-03-31
PRC;2023-03-31;10:02:16;True;['Peso Pluma', 'Natanael Cano'];PRC;2023-01-23;day;1;23;184066;92;True;./images/prc_peso_pluma.jpg;2023-03-31
Hey Mor;2023-03-31;10:02:16;True;['Ozuna', 'Feid'];OzuTochi;2022-10-07;day;18;24;196600;91;False;./images/hey_mor_ozuna.jpg;2023-03-31
Here With Me;2023-03-31;10:02:16;False;['d4vd'];Here With Me;2022-09-22;day;1;25;242484;93;False;./images/here_with_me_d4vd.jpg;2023-03-31
AMG;2023-03-31;10:02:16;True;['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros'];AMG;2022-11-24;day;1;26;174942;92;True;./images/amg_natanael_cano.jpg;2023-03-31
Until I Found You (with Em Beihold) - Em Beihold Version;2023-03-31;10:02:16;True;['Stephen Sanchez', 'Em Beihold'];Until I Found You (Em Beihold Version);2022-04-22;day;1;27;176440;92;False;./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg;2023-03-31
Eyes Closed;2023-03-31;10:02:16;False;['Ed Sheeran'];Eyes Closed (Piano Version);2023-03-23;day;2;28;194848;58;False;./images/eyes_closed_ed_sheeran.jpg;2023-03-31
Starboy;2023-03-31;10:02:16;True;['The Weeknd', 'Daft Punk'];Starboy;2016-11-25;day;18;29;230453;92;True;./images/starboy_the_weeknd.jpg;2023-03-31
Another Love;2023-03-31;10:02:16;False;['Tom Odell'];Long Way Down;2013-06-17;day;10;30;244360;62;True;./images/another_love_tom_odell.jpg;2023-03-31
I Wanna Be Yours;2023-03-31;10:02:16;False;['Arctic Monkeys'];AM;2013-09-09;day;12;31;183956;92;False;./images/i_wanna_be_yours_arctic_monkeys.jpg;2023-03-31
Arcángel: Bzrp Music Sessions, Vol. 54;2023-03-31;10:02:16;True;['Bizarrap', 'Arcángel'];Arcángel: Bzrp Music Sessions, Vol. 54;2023-03-22;day;1;32;223019;85;False;./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg;2023-03-31
golden hour;2023-03-31;10:02:16;False;['JVKE'];this is what ____ feels like (Vol. 1-4);2022-09-23;day;12;33;209259;89;False;./images/golden_hour_jvke.jpg;2023-03-31
Quevedo: Bzrp Music Sessions, Vol. 52;2023-03-31;10:02:16;True;['Bizarrap', 'Quevedo'];Quevedo: Bzrp Music Sessions, Vol. 52;2022-07-06;day;1;34;198937;92;False;./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg;2023-03-31
Escapism.;2023-03-31;10:02:16;True;['RAYE', '070 Shake'];My 21st Century Blues;2023-02-03;day;15;35;272373;81;True;./images/escapism_raye.jpg;2023-03-31
Set Me Free Pt.2;2023-03-31;10:02:16;False;['Jimin'];Set Me Free Pt.2;2023-03-17;day;1;36;200929;89;True;./images/set_me_free_pt2_jimin.jpg;2023-03-31
Cupid - Twin Ver.;2023-03-31;10:02:16;False;['FIFTY FIFTY'];The Beginning: Cupid;2023-02-24;day;3;37;174253;86;False;./images/cupid_twin_ver_fifty_fifty.jpg;2023-03-31
I Ain't Worried;2023-03-31;10:02:16;False;['OneRepublic'];OneRepublic (Japan Paradise Tour Edition);2023-02-15;day;18;38;148120;51;False;./images/i_aint_worried_onerepublic.jpg;2023-03-31
OMG;2023-03-31;10:02:16;False;['NewJeans'];NewJeans 'OMG';2023-01-02;day;2;39;212253;93;False;./images/omg_newjeans.jpg;2023-03-31
Mockingbird;2023-03-31;10:02:16;False;['Eminem'];Encore (Deluxe Version);2004-11-12;day;23;40;250760;91;True;./images/mockingbird_eminem.jpg;2023-03-31
Feliz Cumpleaños Ferxxo;2023-03-31;10:02:16;False;['Feid'];FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM;2022-09-14;day;15;41;155960;89;False;./images/feliz_cumpleaos_ferxxo_feid.jpg;2023-03-31
Players;2023-03-31;10:02:16;False;['Coi Leray'];Players;2022-11-30;day;1;42;139560;92;True;./images/players_coi_leray.jpg;2023-03-31
Shorty Party;2023-03-31;10:02:16;True;['Cartel De Santa', 'La Kelly'];Shorty Party;2023-03-04;day;1;43;265000;90;True;./images/shorty_party_cartel_de_santa.jpg;2023-03-31
Rara Vez;2023-03-31;10:02:16;True;['Taiu', 'Milo j'];Rara Vez;2023-02-08;day;1;44;128677;89;False;./images/rara_vez_taiu.jpg;2023-03-31
El Azul;2023-03-31;10:02:16;True;['Junior H', 'Peso Pluma'];El Azul;2023-02-10;day;1;45;187225;88;True;./images/el_azul_junior_h.jpg;2023-03-31
La Jumpa;2023-03-31;10:02:16;True;['Arcángel', 'Bad Bunny'];Sr. Santos;2022-12-01;day;18;46;255693;87;True;./images/la_jumpa_arcngel.jpg;2023-03-31
ceilings;2023-03-31;10:02:16;False;['Lizzy McAlpine'];five seconds flat;2022-04-08;day;14;47;182887;90;False;./images/ceilings_lizzy_mcalpine.jpg;2023-03-31
Bones;2023-03-31;10:02:16;False;['Imagine Dragons'];Mercury - Acts 1 & 2;2022-07-01;day;32;48;165264;86;False;./images/bones_imagine_dragons.jpg;2023-03-31
Snooze;2023-03-31;10:02:16;False;['SZA'];SOS;2022-12-09;day;23;49;201800;91;True;./images/snooze_sza.jpg;2023-03-31
Like Crazy (English Version);2023-03-31;10:02:16;False;['Jimin'];FACE;2023-03-24;day;6;50;212253;84;False;./images/like_crazy_english_version_jimin.jpg;2023-03-31
Flowers;2023-04-01;10:17:21;False;['Miley Cyrus'];Endless Summer Vacation;2023-03-10;day;13;1;200600;88;False;./images/flowers_miley_cyrus.jpg;2023-04-01
TQG;2023-04-01;10:17:21;True;['KAROL G', 'Shakira'];MAÑANA SERÁ BONITO;2023-02-24;day;17;2;197933;97;True;./images/tqg_karol_g.jpg;2023-04-01
Kill Bill;2023-04-01;10:17:21;False;['SZA'];SOS;2022-12-08;day;23;3;153946;95;False;./images/kill_bill_sza.jpg;2023-04-01
BESO;2023-04-01;10:17:21;True;['ROSALÍA', 'Rauw Alejandro'];RR;2023-03-24;day;3;4;194543;88;False;./images/beso_rosala.jpg;2023-04-01
Ella Baila Sola;2023-04-01;10:17:21;True;['Eslabon Armado', 'Peso Pluma'];Ella Baila Sola;2023-03-16;day;1;5;165671;91;False;./images/ella_baila_sola_eslabon_armado.jpg;2023-04-01
FLOWER;2023-04-01;10:17:21;False;['JISOO'];ME;2023-03-31;day;2;6;173134;0;False;./images/flower_jisoo.jpg;2023-04-01
Boy's a liar Pt. 2;2023-04-01;10:17:21;True;['PinkPantheress', 'Ice Spice'];Boy's a liar Pt. 2;2023-02-03;day;2;7;131013;97;False;./images/boys_a_liar_pt_2_pinkpantheress.jpg;2023-04-01
As It Was;2023-04-01;10:17:21;False;['Harry Styles'];Harry's House;2022-05-20;day;13;8;167303;91;False;./images/as_it_was_harry_styles.jpg;2023-04-01
Die For You (with Ariana Grande) - Remix;2023-04-01;10:17:21;True;['The Weeknd', 'Ariana Grande'];Starboy (Deluxe);2023-03-14;day;21;9;232857;81;False;./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg;2023-04-01
La Bebe - Remix;2023-04-01;10:17:21;True;['Yng Lvcas', 'Peso Pluma'];La Bebe (Remix);2023-03-17;day;2;10;234352;87;True;./images/la_bebe_remix_yng_lvcas.jpg;2023-04-01
Yandel 150;2023-04-01;10:17:21;True;['Yandel', 'Feid'];Resistencia;2023-01-13;day;17;11;216148;89;True;./images/yandel_150_yandel.jpg;2023-04-01
Creepin' (with The Weeknd & 21 Savage);2023-04-01;10:17:21;True;['Metro Boomin', 'The Weeknd', '21 Savage'];HEROES & VILLAINS;2022-12-02;day;15;12;221520;96;True;./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg;2023-04-01
Like Crazy;2023-04-01;10:17:21;False;['Jimin'];FACE;2023-03-24;day;6;13;212241;86;False;./images/like_crazy_jimin.jpg;2023-04-01
Calm Down (with Selena Gomez);2023-04-01;10:17:21;True;['Rema', 'Selena Gomez'];Calm Down (with Selena Gomez);2022-08-25;day;1;14;239317;95;False;./images/calm_down_with_selena_gomez_rema.jpg;2023-04-01
Shakira: Bzrp Music Sessions, Vol. 53;2023-04-01;10:17:21;True;['Bizarrap', 'Shakira'];Shakira: Bzrp Music Sessions, Vol. 53;2023-01-11;day;1;15;214945;97;False;./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg;2023-04-01
All Eyes On Me;2023-04-01;10:17:21;False;['JISOO'];ME;2023-03-31;day;2;16;163522;0;False;./images/all_eyes_on_me_jisoo.jpg;2023-04-01
Anti-Hero;2023-04-01;10:17:21;False;['Taylor Swift'];Midnights;2022-10-21;day;13;17;200690;94;False;./images/antihero_taylor_swift.jpg;2023-04-01
Unholy (feat. Kim Petras);2023-04-01;10:17:21;True;['Sam Smith', 'Kim Petras'];Gloria;2023-01-27;day;13;18;156943;86;False;./images/unholy_feat_kim_petras_sam_smith.jpg;2023-04-01
I'm Good (Blue);2023-04-01;10:17:21;True;['David Guetta', 'Bebe Rexha'];I'm Good (Blue);2022-08-26;day;2;19;175238;94;True;./images/im_good_blue_david_guetta.jpg;2023-04-01
PRC;2023-04-01;10:17:21;True;['Peso Pluma', 'Natanael Cano'];PRC;2023-01-23;day;1;20;184066;92;True;./images/prc_peso_pluma.jpg;2023-04-01
DOGTOOTH;2023-04-01;10:17:21;False;['Tyler, The Creator'];CALL ME IF YOU GET LOST: The Estate Sale;2023-03-31;day;24;21;161041;0;True;./images/dogtooth_tyler_the_creator.jpg;2023-04-01
La Bachata;2023-04-01;10:17:21;False;['Manuel Turizo'];2000;2023-03-17;day;15;22;162637;80;False;./images/la_bachata_manuel_turizo.jpg;2023-04-01
Die For You;2023-04-01;10:17:21;False;['The Weeknd'];Starboy;2016-11-24;day;18;23;260253;90;False;./images/die_for_you_the_weeknd.jpg;2023-04-01
AMG;2023-04-01;10:17:21;True;['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros'];AMG;2022-11-24;day;1;24;174942;92;True;./images/amg_natanael_cano.jpg;2023-04-01
Last Night;2023-04-01;10:17:21;False;['Morgan Wallen'];One Thing At A Time;2023-03-03;day;36;25;163854;86;True;./images/last_night_morgan_wallen.jpg;2023-04-01
Hey Mor;2023-04-01;10:17:21;True;['Ozuna', 'Feid'];OzuTochi;2022-10-07;day;18;26;196600;91;False;./images/hey_mor_ozuna.jpg;2023-04-01
Cupid - Twin Ver.;2023-04-01;10:17:21;False;['FIFTY FIFTY'];The Beginning: Cupid;2023-02-24;day;3;27;174253;86;False;./images/cupid_twin_ver_fifty_fifty.jpg;2023-04-01
Like Crazy (English Version);2023-04-01;10:17:21;False;['Jimin'];FACE;2023-03-24;day;6;28;212253;85;False;./images/like_crazy_english_version_jimin.jpg;2023-04-01
Coco Chanel;2023-04-01;10:17:21;True;['Eladio Carrion', 'Bad Bunny'];3MEN2 KBRN;2023-03-17;day;18;29;208125;88;True;./images/coco_chanel_eladio_carrion.jpg;2023-04-01
Arcángel: Bzrp Music Sessions, Vol. 54;2023-04-01;10:17:21;True;['Bizarrap', 'Arcángel'];Arcángel: Bzrp Music Sessions, Vol. 54;2023-03-22;day;1;30;223019;85;False;./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg;2023-04-01
Here With Me;2023-04-01;10:17:21;False;['d4vd'];Here With Me;2022-09-22;day;1;31;242484;93;False;./images/here_with_me_d4vd.jpg;2023-04-01
Until I Found You (with Em Beihold) - Em Beihold Version;2023-04-01;10:17:21;True;['Stephen Sanchez', 'Em Beihold'];Until I Found You (Em Beihold Version);2022-04-22;day;1;32;176440;92;False;./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg;2023-04-01
VOID;2023-04-01;10:17:21;False;['Melanie Martinez'];PORTALS;2023-03-31;day;13;33;247875;41;False;./images/void_melanie_martinez.jpg;2023-04-01
Quevedo: Bzrp Music Sessions, Vol. 52;2023-04-01;10:17:21;True;['Bizarrap', 'Quevedo'];Quevedo: Bzrp Music Sessions, Vol. 52;2022-07-06;day;1;34;198937;93;False;./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg;2023-04-01
Another Love;2023-04-01;10:17:21;False;['Tom Odell'];Long Way Down;2013-06-17;day;10;35;244360;62;True;./images/another_love_tom_odell.jpg;2023-04-01
Starboy;2023-04-01;10:17:21;True;['The Weeknd', 'Daft Punk'];Starboy;2016-11-25;day;18;36;230453;92;True;./images/starboy_the_weeknd.jpg;2023-04-01
Escapism.;2023-04-01;10:17:21;True;['RAYE', '070 Shake'];My 21st Century Blues;2023-02-03;day;15;37;272373;81;True;./images/escapism_raye.jpg;2023-04-01
I Ain't Worried;2023-04-01;10:17:21;False;['OneRepublic'];OneRepublic (Japan Paradise Tour Edition);2023-02-15;day;18;38;148120;51;False;./images/i_aint_worried_onerepublic.jpg;2023-04-01
golden hour;2023-04-01;10:17:21;False;['JVKE'];this is what ____ feels like (Vol. 1-4);2022-09-23;day;12;39;209259;90;False;./images/golden_hour_jvke.jpg;2023-04-01
I Wanna Be Yours;2023-04-01;10:17:21;False;['Arctic Monkeys'];AM;2013-09-09;day;12;40;183956;92;False;./images/i_wanna_be_yours_arctic_monkeys.jpg;2023-04-01
El Azul;2023-04-01;10:17:21;True;['Junior H', 'Peso Pluma'];El Azul;2023-02-10;day;1;41;187225;88;True;./images/el_azul_junior_h.jpg;2023-04-01
Mockingbird;2023-04-01;10:17:21;False;['Eminem'];Encore (Deluxe Version);2004-11-12;day;23;42;250760;91;True;./images/mockingbird_eminem.jpg;2023-04-01
Players;2023-04-01;10:17:21;False;['Coi Leray'];Players;2022-11-30;day;1;43;139560;92;True;./images/players_coi_leray.jpg;2023-04-01
Set Me Free Pt.2;2023-04-01;10:17:21;False;['Jimin'];Set Me Free Pt.2;2023-03-17;day;1;44;200929;89;True;./images/set_me_free_pt2_jimin.jpg;2023-04-01
Feliz Cumpleaños Ferxxo;2023-04-01;10:17:21;False;['Feid'];FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM;2022-09-14;day;15;45;155960;89;False;./images/feliz_cumpleaos_ferxxo_feid.jpg;2023-04-01
Shorty Party;2023-04-01;10:17:21;True;['Cartel De Santa', 'La Kelly'];Shorty Party;2023-03-04;day;1;46;265000;90;True;./images/shorty_party_cartel_de_santa.jpg;2023-04-01
Eyes Closed;2023-04-01;10:17:21;False;['Ed Sheeran'];Eyes Closed (Piano Version);2023-03-23;day;2;47;194848;61;False;./images/eyes_closed_ed_sheeran.jpg;2023-04-01
La Jumpa;2023-04-01;10:17:21;True;['Arcángel', 'Bad Bunny'];Sr. Santos;2022-12-01;day;18;48;255693;87;True;./images/la_jumpa_arcngel.jpg;2023-04-01
OMG;2023-04-01;10:17:21;False;['NewJeans'];NewJeans 'OMG';2023-01-02;day;2;49;212253;93;False;./images/omg_newjeans.jpg;2023-04-01
Rara Vez;2023-04-01;10:17:21;True;['Taiu', 'Milo j'];Rara Vez;2023-02-08;day;1;50;128677;89;False;./images/rara_vez_taiu.jpg;2023-04-01
Flowers;2023-04-02;09:59:23;False;['Miley Cyrus'];Endless Summer Vacation;2023-03-10;day;13;1;200600;88;False;./images/flowers_miley_cyrus.jpg;2023-04-02
TQG;2023-04-02;09:59:23;True;['KAROL G', 'Shakira'];MAÑANA SERÁ BONITO;2023-02-24;day;17;2;197933;97;True;./images/tqg_karol_g.jpg;2023-04-02
Ella Baila Sola;2023-04-02;09:59:23;True;['Eslabon Armado', 'Peso Pluma'];Ella Baila Sola;2023-03-16;day;1;3;165671;91;False;./images/ella_baila_sola_eslabon_armado.jpg;2023-04-02
Kill Bill;2023-04-02;09:59:23;False;['SZA'];SOS;2022-12-08;day;23;4;153946;95;False;./images/kill_bill_sza.jpg;2023-04-02
BESO;2023-04-02;09:59:23;True;['ROSALÍA', 'Rauw Alejandro'];RR;2023-03-24;day;3;5;194543;89;False;./images/beso_rosala.jpg;2023-04-02
Boy's a liar Pt. 2;2023-04-02;09:59:23;True;['PinkPantheress', 'Ice Spice'];Boy's a liar Pt. 2;2023-02-03;day;2;6;131013;97;False;./images/boys_a_liar_pt_2_pinkpantheress.jpg;2023-04-02
La Bebe - Remix;2023-04-02;09:59:23;True;['Yng Lvcas', 'Peso Pluma'];La Bebe (Remix);2023-03-17;day;2;7;234352;88;True;./images/la_bebe_remix_yng_lvcas.jpg;2023-04-02
As It Was;2023-04-02;09:59:23;False;['Harry Styles'];Harry's House;2022-05-20;day;13;8;167303;91;False;./images/as_it_was_harry_styles.jpg;2023-04-02
Die For You (with Ariana Grande) - Remix;2023-04-02;09:59:23;True;['The Weeknd', 'Ariana Grande'];Starboy (Deluxe);2023-03-14;day;21;9;232857;82;False;./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg;2023-04-02
Yandel 150;2023-04-02;09:59:23;True;['Yandel', 'Feid'];Resistencia;2023-01-13;day;17;10;216148;89;True;./images/yandel_150_yandel.jpg;2023-04-02
Shakira: Bzrp Music Sessions, Vol. 53;2023-04-02;09:59:23;True;['Bizarrap', 'Shakira'];Shakira: Bzrp Music Sessions, Vol. 53;2023-01-11;day;1;11;214945;97;False;./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg;2023-04-02
FLOWER;2023-04-02;09:59:23;False;['JISOO'];ME;2023-03-31;day;2;12;173134;73;False;./images/flower_jisoo.jpg;2023-04-02
Creepin' (with The Weeknd & 21 Savage);2023-04-02;09:59:23;True;['Metro Boomin', 'The Weeknd', '21 Savage'];HEROES & VILLAINS;2022-12-02;day;15;13;221520;96;True;./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg;2023-04-02
Calm Down (with Selena Gomez);2023-04-02;09:59:23;True;['Rema', 'Selena Gomez'];Calm Down (with Selena Gomez);2022-08-25;day;1;14;239317;95;False;./images/calm_down_with_selena_gomez_rema.jpg;2023-04-02
Like Crazy;2023-04-02;09:59:23;False;['Jimin'];FACE;2023-03-24;day;6;15;212241;87;False;./images/like_crazy_jimin.jpg;2023-04-02
PRC;2023-04-02;09:59:23;True;['Peso Pluma', 'Natanael Cano'];PRC;2023-01-23;day;1;16;184066;92;True;./images/prc_peso_pluma.jpg;2023-04-02
AMG;2023-04-02;09:59:23;True;['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros'];AMG;2022-11-24;day;1;17;174942;92;True;./images/amg_natanael_cano.jpg;2023-04-02
Anti-Hero;2023-04-02;09:59:23;False;['Taylor Swift'];Midnights;2022-10-21;day;13;18;200690;94;False;./images/antihero_taylor_swift.jpg;2023-04-02
La Bachata;2023-04-02;09:59:23;False;['Manuel Turizo'];2000;2023-03-17;day;15;19;162637;80;False;./images/la_bachata_manuel_turizo.jpg;2023-04-02
Unholy (feat. Kim Petras);2023-04-02;09:59:23;True;['Sam Smith', 'Kim Petras'];Gloria;2023-01-27;day;13;20;156943;86;False;./images/unholy_feat_kim_petras_sam_smith.jpg;2023-04-02
Cupid - Twin Ver.;2023-04-02;09:59:23;False;['FIFTY FIFTY'];The Beginning: Cupid;2023-02-24;day;3;21;174253;12;False;./images/cupid_twin_ver_fifty_fifty.jpg;2023-04-02
I'm Good (Blue);2023-04-02;09:59:23;True;['David Guetta', 'Bebe Rexha'];I'm Good (Blue);2022-08-26;day;2;22;175238;94;True;./images/im_good_blue_david_guetta.jpg;2023-04-02
Coco Chanel;2023-04-02;09:59:23;True;['Eladio Carrion', 'Bad Bunny'];3MEN2 KBRN;2023-03-17;day;18;23;208125;89;True;./images/coco_chanel_eladio_carrion.jpg;2023-04-02
Die For You;2023-04-02;09:59:23;False;['The Weeknd'];Starboy;2016-11-24;day;18;24;260253;90;False;./images/die_for_you_the_weeknd.jpg;2023-04-02
Hey Mor;2023-04-02;09:59:23;True;['Ozuna', 'Feid'];OzuTochi;2022-10-07;day;18;25;196600;91;False;./images/hey_mor_ozuna.jpg;2023-04-02
Last Night;2023-04-02;09:59:23;False;['Morgan Wallen'];One Thing At A Time;2023-03-03;day;36;26;163854;86;True;./images/last_night_morgan_wallen.jpg;2023-04-02
Quevedo: Bzrp Music Sessions, Vol. 52;2023-04-02;09:59:23;True;['Bizarrap', 'Quevedo'];Quevedo: Bzrp Music Sessions, Vol. 52;2022-07-06;day;1;27;198937;93;False;./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg;2023-04-02
Here With Me;2023-04-02;09:59:23;False;['d4vd'];Here With Me;2022-09-22;day;1;28;242484;93;False;./images/here_with_me_d4vd.jpg;2023-04-02
El Azul;2023-04-02;09:59:23;True;['Junior H', 'Peso Pluma'];El Azul;2023-02-10;day;1;29;187225;88;True;./images/el_azul_junior_h.jpg;2023-04-02
Arcángel: Bzrp Music Sessions, Vol. 54;2023-04-02;09:59:23;True;['Bizarrap', 'Arcángel'];Arcángel: Bzrp Music Sessions, Vol. 54;2023-03-22;day;1;30;223019;86;False;./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg;2023-04-02
Until I Found You (with Em Beihold) - Em Beihold Version;2023-04-02;09:59:23;True;['Stephen Sanchez', 'Em Beihold'];Until I Found You (Em Beihold Version);2022-04-22;day;1;31;176440;93;False;./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg;2023-04-02
Like Crazy (English Version);2023-04-02;09:59:23;False;['Jimin'];FACE;2023-03-24;day;6;32;212253;86;False;./images/like_crazy_english_version_jimin.jpg;2023-04-02
I Ain't Worried;2023-04-02;09:59:23;False;['OneRepublic'];OneRepublic (Japan Paradise Tour Edition);2023-02-15;day;18;33;148120;52;False;./images/i_aint_worried_onerepublic.jpg;2023-04-02
